Date,Vessel,DWT,Origin,Destination,Cargo,Quantity,Rate,Laycan,Contract type
2022-07-19,Trade Endeavour,171248,Newcastle,Paradip,Coal,146513,17.02,2022-07-27/2022-08-02,Spot
2022-03-21,Coral Fortune,169139,Ust-Luga (Baltic),Vizag,Coal,163321,25.13,2022-04-05/2022-04-08,Spot
2025-10-01,Blue Voyager,156396,Muara Pantai,Dhamra,Coal,147866,12.58,2025-10-17/2025-10-23,Spot
2022-10-17,Sea Trader,166360,New Orleans,Vizag,Coal,155378,32.34,2022-10-31/2022-11-04,Time Charter
2025-04-04,Trade Legacy,177051,Samarinda,Gangavaram,Coal,157233,9.35,2025-04-16/2025-04-23,Time Charter
2020-11-26,Trade Endeavour,166641,Ust-Luga (Baltic),Gopalpur,Coal,159244,19.92,2020-12-08/2020-12-14,Spot
2020-12-26,Southern Progress,162980,Hay Point,Paradip,Coal,139311,17.05,2021-01-16/2021-01-22,Spot
2022-10-17,Crown Eagle,152792,Hay Point,Gangavaram,Coal,133808,16.81,2022-10-28/2022-11-02,Spot
2025-09-01,Western Glory,181056,Beira,Gangavaram,Coal,170273,17.34,2025-09-17/2025-09-24,Time Charter
2023-09-12,Silver Pride,81095,Beira,Paradip,Coal,78027,19.33,2023-10-02/2023-10-09,Spot
2024-07-08,Royal Discovery,74780,Hay Point,Gangavaram,Coal,70212,17.02,2024-07-28/2024-08-03,Spot
2024-03-10,Golden Pioneer,79001,Samarinda,Haldia,Coal,68102,10.29,2024-03-22/2024-03-26,Spot
2020-05-30,Atlantic Venture,80320,New Orleans,Dhamra,Coal,77116,36.92,2020-06-14/2020-06-19,Spot
2024-03-10,Coral Legacy,167753,New Orleans,Vizag,Coal,148436,30.91,2024-03-29/2024-04-02,Spot
2023-07-14,Western Horizon,155438,Novorossiysk (Black Sea),Vizag,Coal,140994,24.0,2023-08-04/2023-08-11,COA
2024-03-10,Crown Harmony,176909,Dalrymple Bay,Paradip,Coal,159893,18.16,2024-03-28/2024-04-03,Spot
2022-05-20,Trade Fortune,80336,Novorossiysk (Black Sea),Vizag,Coal,72129,26.06,2022-06-10/2022-06-15,Spot
2021-08-23,Global Harmony,77198,Novorossiysk (Black Sea),Dhamra,Coal,73810,25.51,2021-09-11/2021-09-18,Spot
2024-07-08,Bay Fortune,151862,Newcastle,Dhamra,Coal,134109,15.48,2024-07-29/2024-08-03,Time Charter
2023-05-15,Silver Eagle,80762,Nacala,Haldia,Coal,74670,20.46,2023-06-01/2023-06-04,Spot
2024-12-05,Eastern Venture,161382,Nacala,Gopalpur,Coal,142232,18.84,2024-12-21/2024-12-25,Spot
2022-10-17,Sea Harmony,175678,Newcastle,Haldia,Coal,168793,17.77,2022-11-04/2022-11-08,Time Charter
2025-01-04,Bay Fortune,155977,Gladstone,Vizag,Coal,146502,16.92,2025-01-20/2025-01-26,Spot
2024-03-10,Silver Legacy,79363,Nacala,Haldia,Coal,70104,19.44,2024-03-24/2024-03-27,Spot
2025-06-03,Southern Venture,168629,Novorossiysk (Black Sea),Gangavaram,Coal,149586,22.86,2025-06-18/2025-06-25,Spot
2020-08-28,Bay Phoenix,80735,Taboneo,Gangavaram,Coal,73547,8.96,2020-09-16/2020-09-22,COA
2020-01-31,Crown Voyager,79891,Nacala,Haldia,Coal,75301,18.48,2020-02-21/2020-02-25,Spot
2020-12-26,Golden Eagle,81346,Hay Point,Paradip,Coal,75559,17.77,2021-01-15/2021-01-21,Spot
2022-03-21,Silver Progress,161884,Taboneo,Dhamra,Coal,149618,10.32,2022-04-03/2022-04-08,Spot
2023-12-11,Atlantic Eagle,76162,Hampton Roads,Gopalpur,Coal,65631,31.24,2023-12-24/2023-12-27,Spot
2021-08-23,Star Legacy,168832,Hampton Roads,Gopalpur,Coal,151695,27.13,2021-09-02/2021-09-06,Spot
2024-01-10,Sea Progress,171013,Novorossiysk (Black Sea),Paradip,Coal,152306,22.29,2024-01-27/2024-02-01,Spot
2022-06-19,Southern Phoenix,78653,Beira,Dhamra,Coal,71183,22.1,2022-06-27/2022-07-01,Time Charter
2021-03-26,Global Navigator,175346,Beira,Vizag,Coal,155231,20.0,2021-04-08/2021-04-12,Spot
2021-10-22,Atlantic Endeavour,161480,Vostochny (Far East),Haldia,Coal,155252,23.52,2021-11-10/2021-11-14,Spot
2024-04-09,Silver Spirit,81756,Novorossiysk (Black Sea),Vizag,Coal,75839,19.66,2024-04-24/2024-04-29,Time Charter
2021-08-23,Southern Discovery,78511,Baltimore,Dhamra,Coal,69809,37.9,2021-09-09/2021-09-12,Spot
2024-04-09,Royal Horizon,158246,Hampton Roads,Haldia,Coal,144797,31.25,2024-04-20/2024-04-25,Spot
2025-10-31,Star Glory,165678,Gladstone,Haldia,Coal,148271,18.7,2025-11-13/2025-11-17,Spot
2023-08-13,Atlantic Harmony,80426,Gladstone,Gopalpur,Coal,69564,14.21,2023-08-27/2023-08-31,Time Charter
2023-03-16,Silver Pioneer,172657,Ust-Luga (Baltic),Paradip,Coal,151687,20.92,2023-03-26/2023-03-31,Spot
2022-07-19,Grand Glory,78294,Vostochny (Far East),Gangavaram,Coal,75425,24.21,2022-08-08/2022-08-14,Spot
2023-08-13,Ocean Harmony,170283,Muara Pantai,Paradip,Coal,160849,9.47,2023-08-25/2023-08-31,Time Charter
2020-03-31,Northern Spirit,75321,Baltimore,Gangavaram,Coal,64787,31.99,2020-04-16/2020-04-21,Time Charter
2025-10-31,Northern Spirit,167900,Vostochny (Far East),Gopalpur,Coal,151718,22.77,2025-11-14/2025-11-21,Spot
2021-03-26,Northern Discovery,166317,Beira,Gangavaram,Coal,155445,22.9,2021-04-05/2021-04-09,Spot
2020-06-29,Royal Glory,164404,New Orleans,Paradip,Coal,154971,32.48,2020-07-08/2020-07-12,Spot
2024-04-09,Crown Endeavour,157550,Muara Pantai,Vizag,Coal,134222,11.46,2024-04-28/2024-05-05,COA
2025-06-03,Bay Glory,174335,Newcastle,Gopalpur,Coal,157842,17.23,2025-06-11/2025-06-17,Spot
2025-03-05,Star Venture,79081,Beira,Paradip,Coal,67741,21.66,2025-03-22/2025-03-29,Spot
2022-05-20,Silver Horizon,76194,Hay Point,Paradip,Coal,67820,14.6,2022-06-09/2022-06-15,Spot
2020-11-26,Northern Endeavour,76176,Samarinda,Vizag,Coal,69680,10.91,2020-12-06/2020-12-11,COA
2024-09-06,Eastern Pioneer,78502,Nacala,Vizag,Coal,72768,19.9,2024-09-22/2024-09-27,COA
2020-03-01,Bay Pride,81008,Ust-Luga (Baltic),Gangavaram,Coal,73261,22.62,2020-03-08/2020-03-15,Spot
2024-07-08,Blue Navigator,81500,Beira,Paradip,Coal,77608,20.89,2024-07-19/2024-07-23,Spot
2021-11-21,Atlantic Fortune,78744,New Orleans,Vizag,Coal,68659,32.36,2021-11-30/2021-12-03,COA
2025-04-04,Star Fortune,77263,Dalrymple Bay,Gangavaram,Coal,73992,19.15,2025-04-12/2025-04-16,Spot
2025-10-31,Coral Trader,77943,Novorossiysk (Black Sea),Gangavaram,Coal,73834,20.28,2025-11-10/2025-11-17,COA
2025-10-31,Grand Venture,79471,Beira,Paradip,Coal,73374,20.82,2025-11-10/2025-11-13,Spot
2021-02-24,Ocean Discovery,76064,Beira,Haldia,Coal,72826,18.6,2021-03-11/2021-03-16,Time Charter
2020-11-26,Global Legacy,171874,Ust-Luga (Baltic),Vizag,Coal,151309,18.5,2020-12-16/2020-12-21,Spot
2025-03-05,Bay Endeavour,166529,Nacala,Gopalpur,Coal,158694,21.53,2025-03-18/2025-03-23,Spot
2023-11-11,Trade Pioneer,79424,Taboneo,Gopalpur,Coal,71360,10.76,2023-11-25/2023-11-29,Spot
2024-05-09,Royal Pioneer,162072,Ust-Luga (Baltic),Gangavaram,Coal,147935,21.99,2024-05-24/2024-05-30,Spot
2021-08-23,Star Venture,81888,Nacala,Gangavaram,Coal,69847,19.95,2021-09-12/2021-09-18,COA
2024-09-06,Sea Venture,166357,Samarinda,Gopalpur,Coal,148103,8.91,2024-09-25/2024-10-02,Spot
2021-12-21,Northern Horizon,81259,Samarinda,Vizag,Coal,71368,11.23,2022-01-09/2022-01-13,COA
2024-07-08,Southern Pioneer,172763,Samarinda,Haldia,Coal,154850,11.17,2024-07-17/2024-07-21,COA
2023-10-12,Grand Harmony,74960,Newcastle,Gopalpur,Coal,71809,16.98,2023-10-20/2023-10-23,Spot
2021-01-25,Ocean Falcon,177981,Novorossiysk (Black Sea),Dhamra,Coal,151649,20.37,2021-02-08/2021-02-11,Time Charter
2021-02-24,Bay Legacy,151456,Novorossiysk (Black Sea),Gopalpur,Coal,145372,23.5,2021-03-14/2021-03-18,Spot
2022-05-20,Silver Spirit,165382,Ust-Luga (Baltic),Haldia,Coal,155608,22.84,2022-06-08/2022-06-12,Spot
2020-06-29,Star Falcon,75640,Muara Pantai,Gangavaram,Coal,71848,10.55,2020-07-19/2020-07-25,Time Charter
2022-03-21,Global Eagle,75198,Newcastle,Gangavaram,Coal,71424,18.28,2022-04-11/2022-04-18,Spot
2023-06-14,Cape Glory,76016,New Orleans,Dhamra,Coal,73371,30.18,2023-07-05/2023-07-08,COA
2023-09-12,Coral Venture,156682,Muara Pantai,Haldia,Coal,150601,13.21,2023-09-24/2023-09-27,Spot
2024-05-09,Pacific Endeavour,175542,Muara Pantai,Gangavaram,Coal,161872,11.02,2024-05-24/2024-05-28,Spot
2021-12-21,Golden Navigator,157159,Hay Point,Gangavaram,Coal,141404,18.35,2022-01-06/2022-01-12,Spot
2023-06-14,Royal Pride,77990,Beira,Gopalpur,Coal,66417,22.7,2023-07-01/2023-07-06,Spot
2024-01-10,Southern Voyager,175906,Hampton Roads,Gangavaram,Coal,167577,34.83,2024-01-20/2024-01-27,Time Charter
2021-09-22,Bay Pioneer,171663,Newcastle,Dhamra,Coal,155871,15.91,2021-10-10/2021-10-13,Spot
2020-03-01,Sea Endeavour,74432,Dalrymple Bay,Vizag,Coal,67396,16.22,2020-03-22/2020-03-27,Spot
2021-07-24,Grand Pride,81351,Muara Pantai,Gopalpur,Coal,70631,8.31,2021-08-13/2021-08-18,Time Charter
2021-03-26,Royal Venture,159693,Dalrymple Bay,Haldia,Coal,138802,16.94,2021-04-02/2021-04-06,Spot
2020-03-31,Eastern Spirit,75933,Novorossiysk (Black Sea),Gangavaram,Coal,71905,22.04,2020-04-16/2020-04-21,Spot
2021-03-26,Coral Legacy,160569,Dalrymple Bay,Gopalpur,Coal,141730,16.37,2021-04-10/2021-04-15,Spot
2021-06-24,Golden Fortune,76434,Gladstone,Haldia,Coal,71014,13.8,2021-07-11/2021-07-18,COA
2020-11-26,Trade Eagle,169730,Nacala,Vizag,Coal,156161,20.08,2020-12-11/2020-12-15,Spot
2021-10-22,Northern Venture,80225,Taboneo,Gangavaram,Coal,68436,9.53,2021-11-09/2021-11-15,COA
2024-03-10,Atlantic Spirit,154993,Dalrymple Bay,Gopalpur,Coal,135041,14.45,2024-03-24/2024-03-30,Time Charter
2020-07-29,Eastern Navigator,179118,Gladstone,Gopalpur,Coal,152922,16.33,2020-08-09/2020-08-15,Time Charter
2024-11-05,Crown Fortune,164372,Nacala,Haldia,Coal,141730,22.32,2024-11-20/2024-11-26,Time Charter
2022-12-16,Sea Falcon,79218,Taboneo,Gopalpur,Coal,73343,11.54,2022-12-27/2022-12-31,Spot
2020-06-29,Northern Fortune,159340,Ust-Luga (Baltic),Vizag,Coal,146157,23.58,2020-07-20/2020-07-27,Spot
2023-06-14,Ocean Voyager,174347,Taboneo,Vizag,Coal,168562,11.61,2023-06-29/2023-07-03,Spot
2022-08-18,Southern Horizon,178020,Vostochny (Far East),Gopalpur,Coal,152967,18.35,2022-08-27/2022-08-30,Spot
2021-07-24,Cape Spirit,75018,Vostochny (Far East),Dhamra,Coal,68776,21.88,2021-08-08/2021-08-15,Spot
2020-01-01,Trade Endeavour,168610,Novorossiysk (Black Sea),Gopalpur,Coal,153911,24.28,2020-01-20/2020-01-23,Spot
2025-10-31,Cape Navigator,171088,New Orleans,Gangavaram,Coal,153938,33.42,2025-11-17/2025-11-21,Time Charter
2021-04-25,Ocean Glory,81265,Hampton Roads,Gangavaram,Coal,71410,38.14,2021-05-12/2021-05-17,Spot
2023-05-15,Global Pioneer,178951,Vostochny (Far East),Haldia,Coal,160675,21.89,2023-06-01/2023-06-06,COA
2025-09-01,Royal Voyager,80929,Baltimore,Dhamra,Coal,70339,33.82,2025-09-08/2025-09-12,COA
2023-11-11,Star Eagle,177822,Muara Pantai,Vizag,Coal,171926,9.23,2023-12-02/2023-12-07,Spot
2020-06-29,Trade Navigator,168069,Beira,Haldia,Coal,150366,20.0,2020-07-10/2020-07-17,Spot
2024-09-06,Western Glory,76687,Gladstone,Dhamra,Coal,67102,16.44,2024-09-17/2024-09-20,COA
2021-05-25,Pacific Eagle,79016,Hay Point,Vizag,Coal,76260,15.23,2021-06-13/2021-06-19,Time Charter
2025-10-01,Northern Pioneer,179956,Ust-Luga (Baltic),Gopalpur,Coal,167492,19.53,2025-10-15/2025-10-18,Spot
2024-09-06,Trade Spirit,161476,Novorossiysk (Black Sea),Gopalpur,Coal,142523,22.47,2024-09-24/2024-09-27,Spot
2021-06-24,Ocean Legacy,168973,Nacala,Gopalpur,Coal,149949,20.32,2021-07-12/2021-07-17,Spot
2022-04-20,Atlantic Progress,76844,Novorossiysk (Black Sea),Paradip,Coal,74393,23.75,2022-04-30/2022-05-03,Spot
2022-03-21,Crown Pride,75138,New Orleans,Haldia,Coal,66376,33.18,2022-04-09/2022-04-14,Spot
2024-10-06,Western Progress,154752,Ust-Luga (Baltic),Paradip,Coal,141116,21.35,2024-10-17/2024-10-22,Time Charter
2021-03-26,Star Glory,160230,Beira,Gopalpur,Coal,138506,23.33,2021-04-05/2021-04-08,Time Charter
2025-09-01,Grand Falcon,165967,Taboneo,Vizag,Coal,145143,9.31,2025-09-12/2025-09-15,COA
2023-09-12,Grand Voyager,151735,Muara Pantai,Dhamra,Coal,141788,8.22,2023-09-23/2023-09-30,Spot
2021-10-22,Western Endeavour,160151,Samarinda,Paradip,Coal,142058,10.43,2021-11-12/2021-11-15,Spot
2021-03-26,Golden Fortune,150654,Nacala,Paradip,Coal,144374,20.58,2021-04-09/2021-04-14,COA
2020-01-01,Ocean Navigator,166646,Muara Pantai,Gangavaram,Coal,155433,11.83,2020-01-13/2020-01-19,COA
2024-04-09,Western Pride,164818,Muara Pantai,Gangavaram,Coal,156370,8.24,2024-04-17/2024-04-22,Spot
2023-12-11,Atlantic Navigator,158952,Beira,Dhamra,Coal,148745,20.86,2023-12-19/2023-12-22,Time Charter
2022-08-18,Eastern Phoenix,78016,Newcastle,Gangavaram,Coal,72734,18.64,2022-08-26/2022-08-30,Time Charter
2023-01-15,Star Horizon,78677,Ust-Luga (Baltic),Haldia,Coal,71511,21.5,2023-02-02/2023-02-06,Time Charter
2024-09-06,Western Falcon,78418,Muara Pantai,Haldia,Coal,75330,13.01,2024-09-27/2024-10-01,Spot
2024-11-05,Eastern Venture,164447,Vostochny (Far East),Gangavaram,Coal,155756,22.45,2024-11-22/2024-11-29,Spot
2020-03-01,Sea Spirit,164188,Baltimore,Vizag,Coal,153930,36.74,2020-03-09/2020-03-14,Time Charter
2025-03-05,Ocean Endeavour,180003,Gladstone,Dhamra,Coal,167316,17.79,2025-03-22/2025-03-25,Spot
2020-03-31,Western Fortune,165981,Muara Pantai,Gopalpur,Coal,160647,10.23,2020-04-20/2020-04-24,Spot
2025-09-01,Trade Venture,156973,Nacala,Gopalpur,Coal,151497,22.92,2025-09-18/2025-09-21,Spot
2021-05-25,Trade Fortune,156020,Samarinda,Vizag,Coal,145205,9.51,2021-06-14/2021-06-17,Spot
2024-01-10,Eastern Falcon,166083,Vostochny (Far East),Haldia,Coal,148344,21.12,2024-01-20/2024-01-23,COA
2023-06-14,Grand Glory,177222,Beira,Haldia,Coal,166423,20.99,2023-07-05/2023-07-11,Time Charter
2021-06-24,Northern Endeavour,152698,Beira,Paradip,Coal,144132,19.47,2021-07-12/2021-07-16,Spot
2021-08-23,Royal Falcon,78555,Samarinda,Gangavaram,Coal,70285,9.52,2021-09-11/2021-09-18,Time Charter
2025-10-01,Cape Eagle,76849,Gladstone,Gopalpur,Coal,71639,16.32,2025-10-21/2025-10-27,Time Charter
2023-01-15,Southern Discovery,80223,New Orleans,Vizag,Coal,70877,34.09,2023-01-31/2023-02-06,COA
2024-10-06,Coral Trader,77315,Gladstone,Dhamra,Coal,74804,13.65,2024-10-23/2024-10-29,Time Charter
2024-12-05,Blue Venture,164107,Nacala,Vizag,Coal,140057,20.23,2024-12-23/2024-12-29,Spot
2021-01-25,Blue Venture,159944,Newcastle,Paradip,Coal,145251,18.4,2021-02-09/2021-02-16,Spot
2021-07-24,Northern Venture,74735,Ust-Luga (Baltic),Haldia,Coal,64282,22.66,2021-08-11/2021-08-14,Time Charter
2021-07-24,Crown Trader,76063,Samarinda,Paradip,Coal,66305,12.07,2021-08-13/2021-08-18,Time Charter
2021-05-25,Silver Voyager,170696,Dalrymple Bay,Gopalpur,Coal,146323,17.56,2021-06-01/2021-06-07,Spot
2024-01-10,Coral Navigator,152090,Hay Point,Paradip,Coal,141170,16.28,2024-01-20/2024-01-27,Spot
2025-02-03,Global Phoenix,76106,Newcastle,Paradip,Coal,72168,15.38,2025-02-15/2025-02-19,Time Charter
2024-10-06,Trade Voyager,75900,Dalrymple Bay,Vizag,Coal,70233,19.25,2024-10-14/2024-10-19,Spot
2021-05-25,Global Fortune,181888,Gladstone,Dhamra,Coal,159342,16.08,2021-06-15/2021-06-20,Spot
2025-09-01,Northern Eagle,74353,Taboneo,Gopalpur,Coal,71942,11.51,2025-09-13/2025-09-19,Time Charter
2024-08-07,Ocean Discovery,81899,New Orleans,Gangavaram,Coal,71156,32.36,2024-08-17/2024-08-23,Spot
2023-12-11,Ocean Pride,80283,Hampton Roads,Dhamra,Coal,69429,37.0,2023-12-24/2023-12-30,Spot
2023-08-13,Royal Venture,80746,Ust-Luga (Baltic),Gopalpur,Coal,73013,22.77,2023-09-03/2023-09-10,COA
2022-03-21,Trade Falcon,79587,Gladstone,Vizag,Coal,76797,15.53,2022-03-31/2022-04-05,COA
2023-08-13,Ocean Pioneer,81669,Nacala,Dhamra,Coal,73290,20.81,2023-08-24/2023-08-29,Spot
2020-01-31,Cape Legacy,178219,Samarinda,Paradip,Coal,152670,10.34,2020-02-10/2020-02-13,COA
2021-10-22,Coral Progress,160370,Baltimore,Gangavaram,Coal,148507,31.12,2021-11-10/2021-11-16,Spot
2023-01-15,Crown Fortune,75150,Nacala,Haldia,Coal,70958,20.24,2023-01-28/2023-01-31,Time Charter
2022-08-18,Trade Pioneer,79146,Taboneo,Haldia,Coal,75603,9.5,2022-09-06/2022-09-11,Time Charter
2020-11-26,Cape Pioneer,173177,Beira,Haldia,Coal,147795,19.21,2020-12-12/2020-12-15,Time Charter
2024-08-07,Bay Discovery,170338,Taboneo,Haldia,Coal,154663,9.87,2024-08-19/2024-08-25,COA
2021-02-24,Blue Glory,150517,Muara Pantai,Gangavaram,Coal,140925,9.76,2021-03-07/2021-03-14,Time Charter
2023-04-15,Star Endeavour,168670,Ust-Luga (Baltic),Dhamra,Coal,145068,20.8,2023-05-03/2023-05-10,Spot
2022-03-21,Crown Phoenix,80198,Baltimore,Vizag,Coal,68889,33.87,2022-04-02/2022-04-08,Spot
2020-09-27,Atlantic Endeavour,77779,Hay Point,Dhamra,Coal,67740,17.07,2020-10-11/2020-10-14,Spot
2023-07-14,Royal Harmony,77403,Baltimore,Haldia,Coal,74108,34.4,2023-07-27/2023-08-02,Spot
2022-01-20,Global Trader,160481,Vostochny (Far East),Dhamra,Coal,151573,22.97,2022-01-27/2022-02-03,Time Charter
2021-03-26,Trade Navigator,81765,Newcastle,Paradip,Coal,70549,15.59,2021-04-07/2021-04-12,Spot
2024-02-09,Royal Fortune,76128,New Orleans,Haldia,Coal,73078,34.08,2024-02-20/2024-02-27,Spot
2021-02-24,Sea Falcon,74126,Baltimore,Gopalpur,Coal,65601,32.32,2021-03-13/2021-03-16,Spot
2020-08-28,Pacific Navigator,74697,Hay Point,Vizag,Coal,70284,16.64,2020-09-11/2020-09-16,Spot
2023-02-14,Sea Legacy,75258,New Orleans,Gopalpur,Coal,64781,28.25,2023-02-24/2023-03-02,COA
2021-06-24,Pacific Pride,175223,Nacala,Dhamra,Coal,169946,18.9,2021-07-05/2021-07-08,COA
2024-10-06,Royal Venture,158459,Dalrymple Bay,Haldia,Coal,137248,16.82,2024-10-20/2024-10-25,Time Charter
2023-02-14,Ocean Venture,80128,Muara Pantai,Dhamra,Coal,74888,10.11,2023-02-21/2023-02-24,Spot
2020-08-28,Cape Horizon,77761,Nacala,Haldia,Coal,68902,17.82,2020-09-09/2020-09-14,Time Charter
2023-10-12,Crown Horizon,76194,Gladstone,Paradip,Coal,69704,15.44,2023-10-25/2023-10-28,Spot
2022-03-21,Coral Venture,161925,Baltimore,Dhamra,Coal,139331,36.06,2022-03-31/2022-04-04,COA
2025-07-03,Star Discovery,180255,Nacala,Vizag,Coal,170754,20.46,2025-07-15/2025-07-20,Time Charter
2024-11-05,Sea Discovery,163084,Nacala,Gangavaram,Coal,145922,22.77,2024-11-22/2024-11-25,Time Charter
2025-10-31,Golden Phoenix,157485,Vostochny (Far East),Haldia,Coal,136509,24.47,2025-11-08/2025-11-13,Spot
2023-11-11,Cape Progress,153411,Ust-Luga (Baltic),Gangavaram,Coal,142750,21.95,2023-11-19/2023-11-22,Spot
2022-07-19,Coral Venture,175589,Samarinda,Haldia,Coal,162385,10.37,2022-07-28/2022-08-01,Spot
2020-03-01,Royal Pioneer,77755,Beira,Dhamra,Coal,68193,21.94,2020-03-20/2020-03-25,COA
2020-01-01,Star Spirit,176677,New Orleans,Gopalpur,Coal,155930,29.09,2020-01-21/2020-01-24,Spot
2020-04-30,Pacific Trader,76490,Novorossiysk (Black Sea),Dhamra,Coal,69310,20.7,2020-05-19/2020-05-26,COA
2024-11-05,Silver Pioneer,158488,Hay Point,Dhamra,Coal,145824,16.74,2024-11-13/2024-11-18,Spot
2020-07-29,Eastern Navigator,154367,Vostochny (Far East),Vizag,Coal,135990,25.58,2020-08-18/2020-08-22,COA
2023-05-15,Sea Voyager,152708,Baltimore,Gopalpur,Coal,132481,29.91,2023-05-30/2023-06-02,Spot
2022-09-17,Crown Discovery,77482,Novorossiysk (Black Sea),Gopalpur,Coal,70568,23.71,2022-09-26/2022-10-02,Spot
2025-10-31,Blue Pride,75828,Hampton Roads,Paradip,Coal,64968,31.99,2025-11-07/2025-11-12,Time Charter
2021-08-23,Western Navigator,80789,Novorossiysk (Black Sea),Gopalpur,Coal,73504,21.27,2021-08-31/2021-09-04,COA
2023-10-12,Blue Legacy,78455,Gladstone,Vizag,Coal,72705,17.46,2023-11-02/2023-11-09,Spot
2024-01-10,Northern Voyager,172215,New Orleans,Gopalpur,Coal,165224,30.17,2024-01-19/2024-01-22,Time Charter
2021-12-21,Silver Venture,156695,Taboneo,Gangavaram,Coal,136756,8.83,2021-12-28/2021-12-31,Spot
2025-09-01,Sea Horizon,154069,Muara Pantai,Gangavaram,Coal,134046,13.12,2025-09-14/2025-09-20,COA
2022-06-19,Ocean Eagle,166096,New Orleans,Gopalpur,Coal,155315,33.24,2022-07-05/2022-07-08,Spot
2023-12-11,Eastern Voyager,77147,Nacala,Gopalpur,Coal,71713,19.66,2023-12-23/2023-12-27,Spot
2021-06-24,Royal Endeavour,80566,Beira,Gangavaram,Coal,69404,21.07,2021-07-12/2021-07-17,Spot
2025-05-04,Eastern Endeavour,152513,Ust-Luga (Baltic),Dhamra,Coal,134170,21.31,2025-05-23/2025-05-28,Spot
2021-03-26,Sea Pioneer,180970,Newcastle,Vizag,Coal,158679,14.39,2021-04-06/2021-04-12,Spot
2020-05-30,Bay Discovery,175856,Taboneo,Gangavaram,Coal,169475,8.41,2020-06-13/2020-06-19,Spot
2025-02-03,Southern Pride,78102,Taboneo,Paradip,Coal,75689,10.46,2025-02-23/2025-02-28,Spot
2022-04-20,Grand Pioneer,74088,Nacala,Haldia,Coal,68866,19.68,2022-05-07/2022-05-10,Time Charter
2024-07-08,Royal Glory,168204,Nacala,Paradip,Coal,150448,21.19,2024-07-29/2024-08-02,Spot
2024-12-05,Grand Venture,79967,Dalrymple Bay,Paradip,Coal,68344,17.38,2024-12-23/2024-12-30,Spot
2024-03-10,Trade Trader,78372,Novorossiysk (Black Sea),Haldia,Coal,70078,23.91,2024-03-22/2024-03-29,Time Charter
2024-08-07,Royal Fortune,169695,Muara Pantai,Dhamra,Coal,152878,12.07,2024-08-19/2024-08-25,COA
2022-06-19,Coral Fortune,75380,Baltimore,Gangavaram,Coal,71046,33.33,2022-07-07/2022-07-12,Spot
2025-07-03,Star Horizon,77353,Baltimore,Dhamra,Coal,71879,29.03,2025-07-20/2025-07-23,Time Charter
2024-03-10,Silver Pioneer,79732,Newcastle,Paradip,Coal,73018,15.09,2024-03-29/2024-04-01,Time Charter
2024-09-06,Silver Spirit,81400,Baltimore,Haldia,Coal,71890,34.92,2024-09-23/2024-09-27,COA
2021-10-22,Trade Progress,152213,Hampton Roads,Gopalpur,Coal,136673,29.26,2021-11-12/2021-11-15,Spot
2021-11-21,Crown Fortune,165538,Taboneo,Paradip,Coal,149841,10.7,2021-11-28/2021-12-02,COA
2020-09-27,Silver Trader,80778,Nacala,Paradip,Coal,72356,19.15,2020-10-09/2020-10-12,Time Charter
2025-06-03,Coral Eagle,78926,Newcastle,Haldia,Coal,71771,17.65,2025-06-11/2025-06-17,Spot
2023-11-11,Golden Discovery,78296,Taboneo,Gangavaram,Coal,69394,10.53,2023-11-28/2023-12-03,Spot
2021-03-26,Bay Trader,75581,Nacala,Gangavaram,Coal,67861,21.73,2021-04-12/2021-04-19,Time Charter
2022-01-20,Western Phoenix,79735,Samarinda,Gangavaram,Coal,72524,9.83,2022-02-03/2022-02-07,Spot
2025-06-03,Pacific Trader,154223,Baltimore,Gangavaram,Coal,140939,31.74,2025-06-17/2025-06-24,Spot
2022-12-16,Silver Horizon,79347,Hampton Roads,Vizag,Coal,76745,31.85,2022-12-26/2023-01-02,Time Charter
2020-08-28,Trade Voyager,76963,Taboneo,Gopalpur,Coal,70528,13.43,2020-09-15/2020-09-19,Spot
2023-02-14,Bay Glory,75795,Nacala,Gopalpur,Coal,69676,24.22,2023-02-22/2023-02-25,Spot
2025-07-03,Star Fortune,79977,Nacala,Paradip,Coal,76322,22.75,2025-07-22/2025-07-28,COA
2021-04-25,Cape Phoenix,177913,Novorossiysk (Black Sea),Gopalpur,Coal,160813,24.71,2021-05-14/2021-05-18,Time Charter
2020-01-31,Eastern Pride,181727,Novorossiysk (Black Sea),Dhamra,Coal,172411,24.26,2020-02-21/2020-02-24,Spot
2025-07-03,Royal Horizon,81764,Gladstone,Gopalpur,Coal,73265,16.1,2025-07-19/2025-07-26,Time Charter
2024-02-09,Golden Navigator,77046,Hampton Roads,Paradip,Coal,72259,33.65,2024-02-25/2024-02-29,Spot
2025-02-03,Southern Fortune,162117,Gladstone,Haldia,Coal,147176,16.27,2025-02-15/2025-02-19,Spot
2024-03-10,Cape Spirit,151942,Hampton Roads,Gopalpur,Coal,133088,33.74,2024-03-27/2024-04-01,Spot
2020-06-29,Royal Progress,153187,Nacala,Dhamra,Coal,141027,18.28,2020-07-14/2020-07-21,Spot
2024-04-09,Bay Venture,74670,Muara Pantai,Paradip,Coal,67026,10.37,2024-04-29/2024-05-03,Time Charter
2023-06-14,Coral Phoenix,81790,Hay Point,Haldia,Coal,79332,14.79,2023-06-29/2023-07-04,COA
2021-10-22,Cape Pride,74342,Taboneo,Gopalpur,Coal,67647,11.84,2021-11-07/2021-11-10,COA
